Id,Sentiment,Instagram Comment Text,cleaned_text,normalized_text,final_text
11,negative,"Syarat sah nikah menurut agama islam hanya 5 yaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup gak manglingi bukan syarat sah pernikahan. Sekalipun gak makeup tapi syarat yg 5 tersebut terpenuhi maka pernikahannya SAH yak emak emak julids",syarat sah nikah menurut agama islam hanya yaitu adanya cpp adanya cpw saksi wali nikah dan mas kawin mahar perkara makeup gak manglingi bukan syarat sah pernikahan sekalipun gak makeup tapi syarat yg tersebut terpenuhi maka pernikahannya sah yak emak emak julids,syarat sah nikah menurut agama islam hanya yaitu adanya cpp adanya cpw saksi wali nikah dan mas kawin mahar perkara makeup tidak manglingi bukan syarat sah pernikahan sekalipun tidak makeup tapi syarat yang tersebut terpenuhi maka pernikahannya sah yak emak emak julids,syarat sah nikah agama islam yaitu ada cpp ada cpw saksi wali nikah mas kawin mahar perkara makeup manglingi bukan syarat sah nikah sekalipun makeup syarat sebut penuh nikah sah yak emak emak julids
12,negative,"Cewek gatau diri nih, ngerebut pacar org. Udh mana punya abang yg ngedukung sifat jeleknya lg. Ckck",cewek gatau diri nih ngerebut pacar org udh mana punya abang yg ngedukung sifat jeleknya lg ckck,cewek gatau diri nih ngerebut pacar org udh mana punya abang yang ngedukung sifat jeleknya lagi ckck,cewek gatau diri nih ngerebut pacar org udh mana punya abang ngedukung sifat jelek ckck
13,negative, <USERNAME> eh... Situ siapa??? Kids jaman now ya kebanyakan micin.. Mna kata aku yg ngina??? Bego dipelihara??????,eh situ siapa kids jaman now ya kebanyakan micin mna kata aku yg ngina bego dipelihara,eh situ siapa kids jaman now ya kebanyakan micin mna kata aku yang ngina bego dipelihara,eh situ siapa kids jaman now banyak micin mna kata aku ngina bego pelihara
14,negative,Jijik liatnya suer deh minceeee,jijik liatnya suer deh minceeee,jijik liatnya suer deh minceeee,jijik liat suer deh minceeee
15,negative,"Emang bukan hal tabu ciuman gitu (iya emang) tapi yg bikin eneg itu ""PENCITRAAN"" nya yg sok alim sok baik sok bijak dan sok sok yg lainya. Seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan. Bukan sok alim atau sok suci serius!",emang bukan hal tabu ciuman gitu iya emang tapi yg bikin eneg itu pencitraan nya yg sok alim sok baik sok bijak dan sok sok yg lainya seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan bukan sok alim atau sok suci serius,emang bukan hal tabu ciuman gitu iya emang tapi yang bikin eneg itu pencitraan nya yang sok alim sok baik sok bijak dan sok sok yang lainya seandainya dia lebih apa adanya itu lebih baik dari pada pencitraan bukan sok alim atau sok suci serius,emang bukan tabu cium gitu iya emang bikin eneg citra nya sok alim sok baik sok bijak sok sok yang lai anda lebih apa ada lebih baik pada citra bukan sok alim sok suci serius
16,negative,"Yg jd masalah disini adalah 1. mereka ciuman dpn org bnyk yg SEHARUSNYA sih punya rasa MALU, kecuali mgkn lg mabok jd gak ada rasa malu. 2. Mereka berteman?? Helooow sebuah pertemanan tdk akan melibatkan ciuman BIBIR, coba aja kalian bayangin, sanggup gak ciuman bibir ma TEMAN? pasti lbh dr teman lah itu. Dasar Kelakuan Kids jaman now yg emg bego, bukan krn kebanyakan micin lho yah ??",yg jd masalah disini adalah mereka ciuman dpn org bnyk yg seharusnya sih punya rasa malu kecuali mgkn lg mabok jd gak ada rasa malu mereka berteman helooow sebuah pertemanan tdk akan melibatkan ciuman bibir coba aja kalian bayangin sanggup gak ciuman bibir ma teman pasti lbh dr teman lah itu dasar kelakuan kids jaman now yg emg bego bukan krn kebanyakan micin lho yah,yang jd masalah disini adalah mereka ciuman dpn org bnyk yang seharusnya sih punya rasa malu kecuali mgkn lagi mabok jd tidak ada rasa malu mereka berteman helooow sebuah pertemanan tdk akan melibatkan ciuman bibir coba saja kalian bayangin sanggup tidak ciuman bibir ma teman pasti lbh dr teman lah itu dasar kelakuan kids jaman now yang emg bego bukan krn kebanyakan micin lho yah,jd masalah sini cium dpn org bnyk harus sih punya rasa malu mgkn mabok jd ada rasa malu mereka teman helooow buah teman tdk libat cium bibir coba kalian bayangin sanggup cium bibir ma teman lbh dr teman lah dasar laku kids jaman now emg bego bukan krn banyak micin lho yah
17,negative,Anjing nya ngamuk..hidup kok dmana2 pny musuh..udh kliatan mna yg baik dan bukan..org baik ga pny byk musuh..,anjing nya ngamuk hidup kok dmana pny musuh udh kliatan mna yg baik dan bukan org baik ga pny byk musuh,anjing nya ngamuk hidup kok dmana pny musuh udh kliatan mna yang baik dan bukan org baik tidak pny byk musuh,anjing nya ngamuk hidup kok dmana pny musuh udh kliatan mna baik bukan org baik pny byk musuh
18,negative," <USERNAME> ahhh katanya jaga ucapan, lahh ucapan dia ngk dijaga sendiri.. dasar munafik.. dasar betina zaman now ellu kali yangg kelebihan micin.. loe sendiri otak loe kan di selangkangan mana paham.. semoga Tuhan ampunin kemunafikan loe cun",ahhh katanya jaga ucapan lahh ucapan dia ngk dijaga sendiri dasar munafik dasar betina zaman now ellu kali yangg kelebihan micin loe sendiri otak loe kan di selangkangan mana paham semoga tuhan ampunin kemunafikan loe cun,ahhh katanya jaga ucapan lahh ucapan dia ngk dijaga sendiri dasar munafik dasar betina zaman now ellu kali yangg kelebihan micin loe sendiri otak loe kan di selangkangan mana paham semoga tuhan ampunin kemunafikan loe cun,ahhh kata jaga ucap lahh ucap ngk jaga sendiri dasar munafik dasar betina zaman now ellu kali yangg lebih micin loe sendiri otak loe kan selangkang mana paham moga tuhan ampunin munafik loe cun
19,negative," <USERNAME> yaa ampun ini upil naruto,, kata2nya makin mencerminkan klo dia yg sebenarnya pecun.????pengalaman banget lu yaa. Kesian. Gua jadi prihatin. Mati aj deh lu. Ngotorin dunia manusia macam kau.??",yaa ampun ini upil naruto katanya makin mencerminkan klo dia yg sebenarnya pecun pengalaman banget lu yaa kesian gua jadi prihatin mati aj deh lu ngotorin dunia manusia macam kau,yaa ampun ini upil naruto katanya makin mencerminkan klo dia yang sebenarnya pecun pengalaman banget lu yaa kesian gua jadi prihatin mati aj deh lu ngotorin dunia manusia macam kau,yaa ampun upil naruto kata makin cermin klo yang benar pecun alam banget lu yaa kesi gua jadi prihatin mati aj deh lu ngotorin dunia manusia macam kau
20,negative,"Cuman jual goyangan yak, suara macam taik...",cuman jual goyangan yak suara macam taik,cuman jual goyangan yak suara macam taik,cuman jual goyang yak suara macam taik
21,negative,Kasian ih nyari uang sampe segitunya,kasian ih nyari uang sampe segitunya,kasian ih nyari uang sampe segitunya,kasi ih nyari uang sampe segitunya
22,negative,anjir tontonan yg sangat tidak bermutu!,anjir tontonan yg sangat tidak bermutu,anjir tontonan yang sangat tidak bermutu,anjir tonton sangat mutu
23,negative,"Dlu inul goyang ngebor baju ketat dcekal. Hrs ny ni jg dg sgja goyang dada mulu, suara ga sbrpa. Mrsk moral ank muda yg nnton bawaannya nafsu aja nanti ????",dlu inul goyang ngebor baju ketat dcekal hrs ny ni jg dg sgja goyang dada mulu suara ga sbrpa mrsk moral ank muda yg nnton bawaannya nafsu aja nanti,dlu inul goyang ngebor baju ketat dcekal hrs ny ni jg dg sgja goyang dada mulu suara tidak sbrpa mrsk moral ank muda yang nnton bawaannya nafsu saja nanti,dlu inul goyang ngebor baju ketat dcekal hrs ny ni jg dg sgja goyang dada mulu suara sbrpa mrsk moral ank muda nnton bawa nafsu nanti
24,negative,Pnyanyi dangdut yg ga berkelas bgini nih... bukan'y nonjolin suara malah nonjolin dada,pnyanyi dangdut yg ga berkelas bgini nih bukan y nonjolin suara malah nonjolin dada,pnyanyi dangdut yang tidak berkelas bgini nih bukan y nonjolin suara malah nonjolin dada,pnyanyi dangdut tidak kelas bgini nih bukan y nonjolin suara malah nonjolin dada
25,negative,"Najis najis udh homo aja harusnya, org kaya gini di musnahkan dari muka bumi",najis najis udh homo aja harusnya org kaya gini di musnahkan dari muka bumi,najis najis udh homo saja harusnya org kaya gini di musnahkan dari muka bumi,najis najis udh homo harus org kaya gin musnah muka bumi
26,negative,"Haduuh ini orang gak punya akhlak bangeg, perasaan kerjaan berantem mulu, banyak musuhnya",haduuh ini orang gak punya akhlak bangeg perasaan kerjaan berantem mulu banyak musuhnya,haduuh ini orang tidak punya akhlak bangeg perasaan kerjaan berantem mulu banyak musuhnya,haduuh orang punya akhlak bangeg asa kerja antem mulu banyak musuh
27,negative,S lonte ini bkn sensasi ngjak ribut org mulu sampah,s lonte ini bkn sensasi ngjak ribut org mulu sampah,s lonte ini bkn sensasi ngjak ribut org mulu sampah,s lonte bkn sensasi ngjak ribut org mulu sampah
28,negative,Kayak banci dh mirip nenek2 pny cucu . Mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm..,kayak banci dh mirip nenek pny cucu mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm,kayak banci dh mirip nenek pny cucu mw di operasi di mua top ttp aj klo asli ny g cantik luar dlm,kayak banci dh mirip nenek pny cucu mw operasi mua top ttp aj klo asli ny g cantik luar dlm
29,negative,Dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,dan lebih bagus lagi kalo mingkem aja hahahahahaha jahatnya akuuu,dan lebih bagus lagi kalo mingkem saja hahahahahaha jahatnya akuuu,lebih bagus kalo mingkem hahahahahaha jahat akuuu
30,negative,Walaupun Oplas ATAU dipermak sekalipun tetep jelek. POKOKNYA MUKANYA TEGANG KEK BANCI. UDAH SEKIAN??,walaupun oplas atau dipermak sekalipun tetep jelek pokoknya mukanya tegang kek banci udah sekian,walaupun oplas atau dipermak sekalipun tetep jelek pokoknya mukanya tegang kek banci udah sekian,walaupun oplas permak sekalipun tetep jelek pokok muka tegang kek banci udah sekian
31,negative,"Mending liat dek molen biarpun cowok tp cuantik, gak kaya ini cewe tp malah kayak bencong wkwkwk ??",mending liat dek molen biarpun cowok tp cuantik gak kaya ini cewe tp malah kayak bencong wkwkwk,mending liat dek molen biarpun cowok tp cuantik tidak kaya ini cewe tp malah kayak bencong wkwkwk,mending liat dek molen biarpun cowok tp cuantik kaya cewe tp malah kayak bencong wkwkwk
32,negative,bencong rombeng.menjijikan!!!gay jg.,bencong rombeng menjijikan gay jg,bencong rombeng menjijikan gay jg,bencong rombeng jijik gay jg
33,negative,"Orang gila itu ???? pengen HITZ cri tenar rela dipenjara? Cari sensasi settingan supaya beken smpe hina2 org,,, astagfirullah... Sekaya apa sih??? Org kaya mulut nya ky sampah,ga sekolah ya???",orang gila itu pengen hitz cri tenar rela dipenjara cari sensasi settingan supaya beken smpe hina org astagfirullah sekaya apa sih org kaya mulut nya ky sampah ga sekolah ya,orang gila itu pengen hitz cri tenar rela dipenjara cari sensasi settingan supaya beken smpe hina org astagfirullah sekaya apa sih org kaya mulut nya ky sampah tidak sekolah ya,orang gila ken hitz cri tenar rela penjara cari sensasi settingan beken smpe hina org astagfirullah kaya apa sih org kaya mulut nya ky sampah sekolah
34,negative,Cowok macam anjing cuihhh... Orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia...karena semua orang juga tau klo dia orang kaya... Orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,cowok macam anjing cuihhh orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia karena semua orang juga tau klo dia orang kaya orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,cowok macam anjing cuihhh orang kaya tidak akan pernah berkoar gua orang yang ping kaya sedunia karena semua orang juga tau klo dia orang kaya orang kaya malahn berperilaku sebagai mana orang sederhana buat apa memamerkan kekayaan di dunia di akhirat mampus lu harta kagak akan di bawa mati yang pants di buang ke laut itu lu orang yang paling anehhh,cowok macam anjing cuihhh orang kaya pernah koar gua orang ping kaya dunia semua orang tau klo orang kaya orang kaya malahn perilaku mana orang sederhana buat apa pamer kaya dunia akhirat mampus lu harta kagak akan bawa mati pants di buang laut lu orang paling anehhh
35,negative,"cari sensasi supaya tenar, trus banya folowers nya. gak gt gt jg kalee... darar orang setres, ngomong aja masih belepotan gk jelas gt. kamfungan",cari sensasi supaya tenar trus banya folowers nya gak gt gt jg kalee darar orang setres ngomong aja masih belepotan gk jelas gt kamfungan,cari sensasi supaya tenar trus banya folowers nya tidak gt gt jg kalee darar orang setres ngomong saja masih belepotan gk jelas gt kamfungan,cari sensasi tenar trus banya folowers nya gt gt jg kalee darar orang tres ngomong masih belepotan gk jelas gt kamfungan
36,negative,ngomong aja belepotan banyak gaya lu bencong,ngomong aja belepotan banyak gaya lu bencong,ngomong saja belepotan banyak gaya lu bencong,ngomong belepotan banyak gaya lu bencong
37,negative,Orang kebanyakAN makan TAIK ya gini!OTAKnya udah penuh sama TAIK jdi gak bisa berfikir positif!dari cara dia berbicara aja Gak BERMORAL!dasar kaum2 LAKNAT BANCI ANJING kbanyakan BURIT SIH LO jdi Stres!MANUSIA ogah JUMPA sama LO anjing!cuma ANJING yg mau ketemu sama LO taik!,orang kebanyakan makan taik ya gini otaknya udah penuh sama taik jdi gak bisa berfikir positif dari cara dia berbicara aja gak bermoral dasar kaum laknat banci anjing kbanyakan burit sih lo jdi stres manusia ogah jumpa sama lo anjing cuma anjing yg mau ketemu sama lo taik,orang kebanyakan makan taik ya gini otaknya udah penuh sama taik jdi tidak bisa berfikir positif dari cara dia berbicara saja tidak bermoral dasar kaum laknat banci anjing kbanyakan burit sih kamu jdi stres manusia ogah jumpa sama kamu anjing cuma anjing yang mau ketemu sama kamu taik,orang banyak makan taik gin otak udah penuh sama taik jdi bisa berfikir positif cara bicara tidak moral dasar kaum laknat banci anjing kbanyakan burit sih kamu jdi stres manusia ogah jumpa sama kamu anjing cuma anjing mau ketemu sama kamu taik
38,negative,Sikat abiss lahh orng2 sialan kaya gini. Pemimpin negara sendiri gak di hormatin. Jgn mentang2 Bapak President kita terlalu baik jadi di sembarangin. Saya marah.. Gak boleh kita hina pemimpin kita sendiri.. Saya harap segera di tindak hukum orng iniÖ,sikat abiss lahh orng sialan kaya gini pemimpin negara sendiri gak di hormatin jgn mentang bapak president kita terlalu baik jadi di sembarangin saya marah gak boleh kita hina pemimpin kita sendiri saya harap segera di tindak hukum orng iniö,sikat abiss lahh orng sialan kaya gini pemimpin negara sendiri tidak di hormatin jgn mentang bapak president kita terlalu baik jadi di sembarangin saya marah tidak boleh kita hina pemimpin kita sendiri saya harap segera di tindak hukum orng iniö,sikat abiss lahh orng sial kaya gin pimpin negara sendiri hormatin jgn mentang bapak president terlalu baik jadi sembarangin marah boleh hina pimpin sendiri harap segera di tindak hukum orng ini
39,negative,Jijik banget lihat tingkah si upil ini. Mudah2an secepatnya tidur selamanya,jijik banget lihat tingkah si upil ini mudahan secepatnya tidur selamanya,jijik banget lihat tingkah si upil ini mudahan secepatnya tidur selamanya,jijik banget lihat tingkah si upil mudah cepat tidur lama
40,negative,"WONG EDAN NIH ORANG, UDH MAKAN UANG RAKYAT TIDUR PULA",wong edan nih orang udh makan uang rakyat tidur pula,wong edan nih orang udh makan uang rakyat tidur pula,wong edan nih orang udh makan uang rakyat tidur
41,negative,"Manusia laknat, matinya di apain ya",manusia laknat matinya di apain ya,manusia laknat matinya di apain ya,manusia laknat mati apain
42,negative,Sakit di otak sama hatinya itu mah dia. Udah gak ada nurani dan urat malunya. Pajak saya loh yang ngegaji orang2 gila hormat ini,sakit di otak sama hatinya itu mah dia udah gak ada nurani dan urat malunya pajak saya loh yang ngegaji orang gila hormat ini,sakit di otak sama hatinya itu mah dia udah tidak ada nurani dan urat malunya pajak saya loh yang ngegaji orang gila hormat ini,sakit otak sama hati mah udah ada nurani urat malu pajak loh ngegaji orang gila hormat
43,negative,Anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,anak babi bangsat pengen sumpel timah panas ke congor lu biar modar,anak babi bangsat ken sumpel timah panas congor lu biar modar
44,negative,Pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,pengen sumpel timah panas ke congor si anak babi pesek buruk rupa,ken sumpel timah panas congor si anak babi pesek buruk rupa
45,negative,Hey anak bangsat babi pesek buruk rupa keriting.pengen penggal leher lu sampe putus??lumayan buat makanan buaya??,hey anak bangsat babi pesek buruk rupa keriting pengen penggal leher lu sampe putus lumayan buat makanan buaya,hey anak bangsat babi pesek buruk rupa keriting pengen penggal leher lu sampe putus lumayan buat makanan buaya,hey anak bangsat babi pesek buruk rupa keriting ken penggal leher lu sampe putus lumayan buat makan buaya
46,negative,"RATU PELAKOR SEJAGAT RAYA, DIMANA2 LONTE YA GAK PUNYA MALU. YG NGERASA LONTE DISINI TOLONG PUNYA MALU DIKIT",ratu pelakor sejagat raya dimana lonte ya gak punya malu yg ngerasa lonte disini tolong punya malu dikit,ratu pelakor sejagat raya dimana lonte ya tidak punya malu yang ngerasa lonte disini tolong punya malu dikit,ratu pelakor jagat raya lonte tidak punya malu ngerasa lonte sini punya malu dikit
47,negative,Wah ini mahhhh pertemuan buah ranum dan buah busuk ??....dah tau dong yg busuk yg manah ??????????....mentok2nya mah gitu aja kalo pelakor??,wah ini mahhhh pertemuan buah ranum dan buah busuk dah tau dong yg busuk yg manah mentoknya mah gitu aja kalo pelakor,wah ini mahhhh pertemuan buah ranum dan buah busuk dah tau dong yang busuk yang manah mentoknya mah gitu saja kalo pelakor,wah mahhhh temu buah ranum buah busuk dah tau dong busuk manah mentok mah gitu kalo pelakor
48,negative,"Ah manda mah gatel, ga bisa liyat cowo dikit lgsg disosor.. Begok aje yg mau ama manda . kegatelan jadi cewe",ah manda mah gatel ga bisa liyat cowo dikit lgsg disosor begok aje yg mau ama manda kegatelan jadi cewe,ah manda mah gatel tidak bisa liyat cowo dikit lgsg disosor begok aje yang mau ama manda kegatelan jadi cewe,ah manda mah gatel bisa liyat cowo dikit lgsg sosor begok aje mau ama manda kegatelan jadi cewe
49,negative,"Si amanda mukanya ke tante"" umur baru berapa tp muka boros banget .... dasar cabe . Jujur gua mah kgk suka ama ni haltis",si amanda mukanya ke tante umur baru berapa tp muka boros banget dasar cabe jujur gua mah kgk suka ama ni haltis,si amanda mukanya ke tante umur baru berapa tp muka boros banget dasar cabe jujur gua mah kgk suka ama ni haltis,si amanda muka tante umur baru berapa tp muka boros banget dasar cabe jujur gua mah kgk suka ama ni haltis
50,negative,"Astagah, demen ama cewek dekil kumel. Ibaratnya dari nagita turun ke att. Nagita kaya emas att kaya barlen",astagah demen ama cewek dekil kumel ibaratnya dari nagita turun ke att nagita kaya emas att kaya barlen,astagah demen ama cewek dekil kumel ibaratnya dari nagita turun ke att nagita kaya emas att kaya barlen,astagah demen ama cewek dekil mel ibarat nagita turun att nagita kaya emas att kaya barlen
51,negative,Alah laki laki jaman skrg sm aja. Sama sama bejat. Mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya. Aku stju bgt sm yg di blg ustazah  <USERNAME> . Msuk surga bkan krna poligami. Msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga. Yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni. Yang hidupnya gk bakal selamat dunia akhirat,alah laki laki jaman skrg sm aja sama sama bejat mau ustad kek bukan kek gila bgt sm perempuan yg bukan istrinya aku stju bgt sm yg di blg ustazah msuk surga bkan krna poligami msh bnyk hal yg kita buat supaya bs jd akhlak baik untuk bs masuk surga yaa smoga aja sih perempuan perempuan pelakor diluar sna mendapat azab yg gak diampuni yang hidupnya gk bakal selamat dunia akhirat,alah laki laki jaman skrg sm saja sama sama bejat mau ustad kek bukan kek gila banget sm perempuan yang bukan istrinya aku stju banget sm yang di blg ustazah msuk surga bkan krna poligami msh bnyk hal yang kita buat supaya bs jd akhlak baik untuk bs masuk surga yaa smoga saja sih perempuan perempuan pelakor diluar sna mendapat azab yang tidak diampuni yang hidupnya gk bakal selamat dunia akhirat,alah laki laki jaman skrg sm sama sama bejat mau ustad kek bukan kek gila banget sm perempuan bukan istri aku stju banget sm di blg ustazah msuk surga bkan krna poligami msh bnyk buat bs jd akhlak baik bs masuk surga yaa smoga sih perempuan perempuan pelakor luar sna dapat azab tidak ampun yang hidup gk bakal selamat dunia akhirat
